MouseID,Generation,Born_Date,Test_Date,Age,BodyWeight,Forepaws_T1,Forepaws_T2,Forepaws_T3,AllPaws_T1,AllPaws_T2,AllPaws_T3
DO-AL-0008,G22_W1,2/9/16,12/12/16,44,31.3,64.329,114.363,146.528,148.315,107.216,125.681
DO-AL-0009,G22_W1,2/9/16,12/12/16,44,17.35,95.898,78.625,91.133,145.933,85.772,76.242
DO-AL-0010,G22_W1,2/9/16,12/12/16,44,48.52,88.155,72.073,107.811,179.289,155.463,129.254
DO-AL-0011,G22_W1,2/9/16,12/12/16,44,25.42,86.368,130.446,85.772,106.024,118.533,150.698
DO-AL-0012,G22_W1,2/9/16,12/12/16,44,29.1,123.894,117.937,149.506,128.063,148.315,116.746
DO-AL-0014,G22_W1,2/9/16,12/12/16,44,29.86,99.472,75.051,72.073,140.572,110.194,125.681
DO-AL-0015,G22_W1,2/9/16,12/12/16,44,49.88,110.194,101.855,116.746,166.78,138.785,128.659
DO-AL-0016,G22_W1,2/9/16,12/12/16,44,49.39,103.046,97.685,60.755,125.085,125.085,110.194
DO-20-1001,G22_W1,2/9/16,12/12/16,44,21.63,75.051,98.281,69.094,148.911,122.702,115.555
DO-20-1002,G22_W1,2/9/16,12/12/16,44,30.93,41.099,68.499,63.734,65.52,104.237,115.555
DO-20-1003,G22_W1,2/9/16,12/12/16,44,35.88,86.368,78.625,108.407,123.298,182.863,132.233
DO-20-1004,G22_W1,2/9/16,12/12/16,44,39.77,79.22,80.412,76.838,111.981,153.08,130.446
DO-20-1005,G22_W1,2/9/16,12/12/16,44,32.2,82.794,88.155,95.898,151.889,125.085,139.38
DO-20-1006,G22_W1,2/9/16,12/12/16,44,29.77,70.286,51.225,41.695,72.073,90.538,67.903
DO-20-1007,G22_W1,2/9/16,12/12/16,44,40.92,67.307,83.39,81.603,120.32,153.676,151.293
DO-20-1008,G22_W1,2/9/16,12/12/16,44,25.06,107.811,88.751,79.22,150.698,96.494,94.111
DO-20-1009,G22_W1,2/9/16,12/12/16,44,31.31,113.768,71.477,74.455,110.194,95.303,150.102
DO-20-1010,G22_W1,2/9/16,12/12/16,44,29.8,110.194,147.719,116.15,148.911,102.45,160.228
DO-20-1011,G22_W1,2/9/16,12/12/16,44,44.47,35.738,65.52,60.755,103.642,145.337,125.681
DO-20-1012,G22_W1,2/9/16,12/12/16,44,33.46,149.506,74.455,89.346,152.485,122.107,156.058
DO-20-1013,G22_W1,2/9/16,12/12/16,44,30.46,53.608,55.394,66.712,147.719,130.446,122.702
DO-20-1014,G22_W1,2/9/16,12/12/16,44,39.76,125.085,133.424,76.838,107.811,135.211,139.38
DO-20-1015,G22_W1,2/9/16,12/12/16,44,40.44,114.959,119.724,94.111,153.676,152.485,129.85
DO-20-1016,G22_W1,2/9/16,12/12/16,44,37.65,81.007,128.659,97.09,109.003,147.719,106.62
DO-40-2001,G22_W1,2/9/16,12/12/16,44,20.91,81.603,118.533,111.385,148.911,175.715,216.219
DO-40-2002,G22_W1,2/9/16,12/12/16,44,26.98,33.951,22.038,32.76,100.068,114.959,85.772
DO-40-2003,G22_W1,2/9/16,12/12/16,44,31.41,35.143,57.181,84.581,147.124,134.02,132.828
DO-40-2004,G22_W1,2/9/16,12/12/16,44,25.15,97.09,71.477,102.45,134.02,150.102,154.272
DO-40-2005,G22_W1,2/9/16,12/12/16,44,19.71,85.177,60.16,81.603,141.167,140.572,148.911
DO-40-2006,G22_W1,2/9/16,12/12/16,44,21.26,60.755,76.242,86.368,124.489,116.15,104.833
DO-40-2007,G22_W1,2/9/16,12/12/16,44,24.98,55.394,124.489,101.855,140.572,156.058,120.32
DO-40-2008,G22_W1,2/9/16,12/12/16,44,28.13,47.055,45.269,30.973,150.102,150.102,85.772
DO-40-2010,G22_W1,2/9/16,12/12/16,44,20.5,59.564,41.695,46.46,105.429,101.259,113.172
DO-40-2011,G22_W1,2/9/16,12/12/16,44,28.49,31.569,55.99,26.804,120.915,106.62,135.807
DO-40-2012,G22_W1,2/9/16,12/12/16,44,36.96,66.712,55.99,91.133,101.259,110.194,144.146
DO-40-2013,G22_W1,2/9/16,12/12/16,44,18.38,82.794,61.351,71.477,129.254,129.254,152.485
DO-40-2014,G22_W1,2/9/16,12/12/16,44,26.48,86.964,56.586,75.051,145.933,103.642,99.472
DO-40-2015,G22_W1,2/9/16,12/12/16,44,25.53,73.264,84.581,72.668,156.058,170.354,166.78
DO-40-2016,G22_W1,2/9/16,12/12/16,44,27.34,69.094,94.111,102.45,126.872,120.32,123.894
DO-1D-3001,G22_W1,2/9/16,12/12/16,44,40.16,71.477,113.768,106.024,120.32,118.533,126.276
DO-1D-3002,G22_W1,2/9/16,12/12/16,44,38.48,58.968,77.433,90.538,100.068,148.911,142.954
DO-1D-3003,G22_W1,2/9/16,12/12/16,44,23.59,54.203,85.177,97.09,99.472,111.981,98.877
DO-1D-3004,G22_W1,2/9/16,12/12/16,44,33.59,89.942,74.455,103.642,137.593,165.589,162.015
DO-1D-3007,G22_W1,2/9/16,12/12/16,44,42.65,54.203,66.116,86.368,159.037,98.877,121.511
DO-1D-3008,G22_W1,2/9/16,12/12/16,44,50.43,101.259,86.964,79.816,120.915,169.758,180.48
DO-1D-3009,G22_W1,2/9/16,12/12/16,44,28.23,93.516,109.598,94.707,171.545,148.315,119.724
DO-1D-3010,G22_W1,2/9/16,12/12/16,44,23.5,79.22,88.751,76.838,79.22,75.646,64.925
DO-1D-3011,G22_W1,2/9/16,12/12/16,44,37.89,66.116,84.581,97.09,78.625,95.303,106.024
DO-1D-3012,G22_W1,2/9/16,12/12/16,44,36.02,94.707,109.003,103.642,123.298,148.911,174.523
DO-1D-3013,G22_W1,2/9/16,12/12/16,44,35.36,57.181,86.964,55.394,78.625,138.189,147.124
DO-1D-3014,G22_W1,2/9/16,12/12/16,44,32.59,73.859,147.124,106.62,176.31,117.937,147.719
DO-1D-3015,G22_W1,2/9/16,12/12/16,44,38.36,75.646,81.007,104.833,106.62,104.237,159.632
DO-1D-3016,G22_W1,2/9/16,12/12/16,44,47.91,79.816,100.068,117.937,130.446,131.041,169.163
DO-2D-4001,G22_W1,2/9/16,12/12/16,44,22.86,91.729,129.85,129.254,130.446,147.719,143.55
DO-2D-4002,G22_W1,2/9/16,12/12/16,44,33.65,101.855,98.281,148.315,59.564,66.712,91.729
DO-2D-4003,G22_W1,2/9/16,12/12/16,44,31.56,106.62,92.92,106.024,144.146,144.146,120.32
DO-2D-4004,G22_W1,2/9/16,12/12/16,44,31.81,78.625,85.177,122.107,117.937,132.828,111.385
DO-2D-4005,G22_W1,2/9/16,12/12/16,44,27.42,43.482,76.242,92.324,88.155,90.538,106.024
DO-2D-4006,G22_W1,2/9/16,12/12/16,44,23.81,91.133,106.62,102.45,120.32,141.763,187.628
DO-2D-4007,G22_W1,2/9/16,12/12/16,44,49.18,91.729,115.555,125.085,80.412,110.789,96.494
DO-2D-4008,G22_W1,2/9/16,12/12/16,44,38.82,84.581,116.746,83.985,176.906,210.262,154.272
DO-2D-4009,G22_W1,2/9/16,12/12/16,44,19.84,100.068,85.772,91.133,116.746,167.971,170.95
DO-2D-4010,G22_W1,2/9/16,12/12/16,44,28.4,61.947,106.024,105.429,101.259,96.494,111.385
DO-2D-4011,G22_W1,2/9/16,12/12/16,44,25.66,73.859,88.751,81.007,145.337,105.429,114.959
DO-2D-4012,G22_W1,2/9/16,12/12/16,44,25.16,97.09,51.821,80.412,89.942,114.959,100.068
DO-2D-4013,G22_W1,2/9/16,12/12/16,44,34.51,57.777,103.642,83.39,137.593,153.08,152.485
DO-2D-4014,G22_W1,2/9/16,12/12/16,44,28.97,75.646,104.833,107.216,138.785,145.933,116.746
DO-2D-4015,G22_W1,2/9/16,12/12/16,44,26.7,86.368,66.116,63.138,147.719,116.746,100.664
DO-2D-4016,G22_W1,2/9/16,12/12/16,44,24.66,92.324,94.707,83.39,143.55,147.124,138.189
DO-AL-0033,G23_W1,5/31/16,4/7/17,44,29.27,82.794,50.629,83.39,153.676,129.85,79.816
DO-AL-0034,G23_W1,5/31/16,4/7/17,44,21.56,77.433,66.116,75.051,125.085,137.593,104.237
DO-AL-0035,G23_W1,5/31/16,4/7/17,44,38.19,90.538,96.494,98.877,148.315,111.385,135.211
DO-AL-0036,G23_W1,5/31/16,4/7/17,44,39.89,82.794,113.172,101.855,144.146,110.789,117.342
